"","id","smile"
"159","DB00291","OC(=O)CCCC1=CC=C(C=C1)N(CCCl)CCCl"
"160","DB00292","CCOC(=O)C1=CN=CN1[C@H](C)C1=CC=CC=C1"
"161","DB00293","CN(CC1=CC2=C(NC(C)=NC2=O)C=C1)C1=CC=C(S1)C(=O)N[C@@H](CCC(O)=O)C(O)=O"
"162","DB00294","[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC(=C)[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H]"
"163","DB00295","[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O"
"164","DB00296","CCCN1CCCC[C@H]1C(=O)NC1=C(C)C=CC=C1C"
"165","DB00297","CCCCN1CCCCC1C(=O)NC1=C(C)C=CC=C1C"
"166","DB00298","CC1=CC=CC=C1N1CCN(CCC2=NN=C3CCCCN23)CC1"
"167","DB00299","NC1=NC(=O)C2=C(N1)N(CCC(CO)CO)C=N2"
"168","DB00301","[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C1=C(C)ON=C1C1=C(Cl)C=CC=C1F)C(O)=O"
"169","DB00303","[H][C@]12[C@@H](C)C(S[C@]3([H])CN[C@@]([H])(C3)C(=O)NC3=CC=CC(=C3)C(O)=O)=C(N1C(=O)[C@]2([H])[C@@H](C)O)C(O)=O"
"170","DB00304","[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC(=C)[C@]1([H])[C@@]3([H])CCCC=C3CC[C@@]21[H]"
"171","DB00305","[H][C@]12CN3C4=C([C@@H](COC(N)=O)[C@@]3(OC)[C@@]1([H])N2)C(=O)C(N)=C(C)C4=O"
"172","DB00306","CCC(C)C1(CC=C)C(=O)NC(=O)NC1=O"
"173","DB00307","CC1=CC2=C(C=C1C(=C)C1=CC=C(C=C1)C(O)=O)C(C)(C)CCC2(C)C"
"174","DB00308","CCCCCCCN(CC)CCCC(O)C1=CC=C(NS(C)(=O)=O)C=C1"
"175","DB00310","NS(=O)(=O)C1=C(Cl)C=CC(=C1)C1(O)NC(=O)C2=CC=CC=C12"
"176","DB00311","CCOC1=CC2=C(C=C1)N=C(S2)S(N)(=O)=O"
"177","DB00312","CCCC(C)C1(CC)C(=O)NC(=O)NC1=O"
"178","DB00313","CCCC(CCC)C(O)=O"
"179","DB00315","CN(C)CCC1=CNC2=CC=C(C[C@H]3COC(=O)N3)C=C12"
"180","DB00316","CC(=O)NC1=CC=C(O)C=C1"
"181","DB00317","COC1=C(OCCCN2CCOCC2)C=C2C(NC3=CC(Cl)=C(F)C=C3)=NC=NC2=C1"
"182","DB00318","[H][C@]12C=C[C@H](O)[C@@H]3OC4=C5C(C[C@H]1N(C)CC[C@@]235)=CC=C4OC"
"183","DB00319","[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](NC(=O)N1CCN(CC)C(=O)C1=O)C1=CC=CC=C1)C(O)=O"
"184","DB00320","[H][C@@]12CCCN1C(=O)[C@H](CC1=CC=CC=C1)N1C(=O)[C@](C)(NC(=O)[C@H]3CN(C)[C@]4([H])CC5=CNC6=CC=CC(=C56)[C@@]4([H])C3)O[C@@]21O"
"185","DB00321","CN(C)CCC=C1C2=CC=CC=C2CCC2=CC=CC=C12"
"186","DB00322","OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(F)C(=O)NC1=O"
"187","DB00323","CC1=CC=C(C=C1)C(=O)C1=CC(=C(O)C(O)=C1)[N+]([O-])=O"
"188","DB00324","[H][C@@]12CC[C@](O)(C(C)=O)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](C)C2=CC(=O)C=C[C@]12C"
"189","DB00327","[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])CCC2=O"
"190","DB00328","COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(O)=O"
"191","DB00330","CC[C@@H](CO)NCCN[C@@H](CC)CO"
"192","DB00331","CN(C)C(=N)NC(N)=N"
"193","DB00333","CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1"
"194","DB00335","CC(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1"
"195","DB00336","NC(=O)N\N=C\C1=CC=C(O1)[N+]([O-])=O"
"196","DB00338","COC1=CC2=C(C=C1)N=C(N2)S(=O)CC1=NC=C(C)C(OC)=C1C"
"197","DB00339","NC(=O)C1=NC=CN=C1"
"198","DB00340","CN1CCCC(CC2C3=CC=CC=C3SC3=CC=CC=C23)C1"
"199","DB00341","OC(=O)COCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1"
"200","DB00342","CC(C)(C)C1=CC=C(C=C1)C(O)CCCN1CCC(CC1)C(O)(C1=CC=CC=C1)C1=CC=CC=C1"
"201","DB00343","COC1=CC=C(C=C1)[C@@H]1SC2=C(C=CC=C2)N(CCN(C)C)C(=O)[C@@H]1OC(C)=O"
"202","DB00344","CNCCCC1C2=CC=CC=C2C=CC2=CC=CC=C12"
"203","DB00345","NC1=CC=C(C=C1)C(=O)NCC(O)=O"
"204","DB00346","COC1=CC2=C(C=C1OC)C(N)=NC(=N2)N(C)CCCNC(=O)C1CCCO1"
"205","DB00347","CN1C(=O)OC(C)(C)C1=O"
"206","DB00348","[O-][N+](=O)C1=C(C=CC(=C1)C(F)(F)F)C(=O)C1C(=O)CCCC1=O"
"207","DB00349","CN1C2=C(C=C(Cl)C=C2)N(C2=CC=CC=C2)C(=O)CC1=O"
"208","DB00351","[H][C@@]12CC[C@](OC(C)=O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C=C(C)C2=CC(=O)CC[C@]12C"
"209","DB00352","NC1=NC(=S)C2=C(N1)N=CN2"
"210","DB00353","[H][C@@]12CC3=CNC4=CC=CC(=C34)C1=C[C@H](CN2C)C(=O)N[C@@H](CC)CO"
"211","DB00354","CC(C)(C)C1=CC=C(CN2CCN(CC2)C(C2=CC=CC=C2)C2=CC=C(Cl)C=C2)C=C1"
"212","DB00355","C[C@H]1[C@H](NC(=O)C(=N/OC(C)(C)C(=O)O)\C2=CSC([NH3+])=N2)C(=O)N1S([O-])(=O)=O"
"213","DB00356","ClC1=CC2=C(OC(=O)N2)C=C1"
"214","DB00357","CCC1(CCC(=O)NC1=O)C1=CC=C(N)C=C1"
"215","DB00358","OC(C1CCCCN1)C1=CC(=NC2=C1C=CC=C2C(F)(F)F)C(F)(F)F"
"216","DB00359","NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CC=N1"
"217","DB00360","[H][C@@]1(CNC2=C(N1)C(=O)NC(N)=N2)[C@@H](O)[C@H](C)O"
"218","DB00365","CC1CN(CCN1)C1=C(F)C(C)=C2C(=O)C(=CN(C3CC3)C2=C1)C(O)=O"
"219","DB00366","CN(C)CCOC(C)(C1=CC=CC=C1)C1=CC=CC=N1"
"220","DB00367","[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H]"
"221","DB00368","NC[C@H](O)C1=CC(O)=C(O)C=C1"
"222","DB00369","NC1=NC(=O)N(C[C@@H](CO)OCP(O)(O)=O)C=C1"
"223","DB00370","CN1CCN2C(C1)C1=CC=CC=C1CC1=C2N=CC=C1"
"224","DB00371","CCCC(C)(COC(N)=O)COC(N)=O"
